  13:02:35.747  Created GymParts folder in ServerStorage  -  Server - Basketball:15
  13:02:35.748  Attempted to call require with invalid argument(s).  -  Server - EventBridgeTests:5
  13:02:35.748  Stack Begin  -  Studio
  13:02:35.748  Script 'ServerScriptService.Core.Tests.EventBridgeTests', Line 5  -  Studio - EventBridgeTests:5
  13:02:35.748  Stack End  -  Studio
  13:02:35.748  Attempted to call require with invalid argument(s).  -  Server - BuyTileSystem:9
  13:02:35.749  Stack Begin  -  Studio
  13:02:35.749  Script 'ServerScriptService.Core.BuyTileSystem', Line 9  -  Studio - BuyTileSystem:9
  13:02:35.749  Stack End  -  Studio
  13:02:35.750  Attempted to call require with invalid argument(s).  -  Server - SeasonalSystem:9
  13:02:35.750  Stack Begin  -  Studio
  13:02:35.750  Script 'ServerScriptService.Core.SeasonalSystem', Line 9  -  Studio - SeasonalSystem:9
  13:02:35.750  Stack End  -  Studio
  13:02:35.751  
=== GYM TYCOON AUTOMATION INITIALIZER ===  -  Server - AutomationInitializer:20
  13:02:35.751  Initializing automation tools...  -  Server - AutomationInitializer:21
  13:02:35.751  ✓ Automation tools initialized!  -  Server - AutomationInitializer:322
  13:02:35.752  ✓ Run _G.AutomateGym() in the Command Bar to start  -  Server - AutomationInitializer:323
  13:02:35.752  ✓ Additional commands: _G.GenerateGymHitboxes(), _G.SetupGymAttributes()  -  Server - AutomationInitializer:324
  13:02:35.752  Reset Button Handler initialized  -  Server - ResetButtonHandler:93
  13:02:35.752  SpecializationIntegration: Failed to load GymSpecializationSystem  -  Server - SpecializationIntegration:25
  13:02:35.753   ▶ Found swimming pool: Workspace.GymParts.3rd Floor.Massage and Wellness.Hot/Cold Tub - Womens.Cold tub - Womens 2.Part with water level at Y=60.2001144438982 (x2)  -  Server - PoolSwimmingSystem:179
  13:02:35.754  Found swimming pool: Workspace.GymParts.3rd Floor.Massage and Wellness.Hot/Cold Tub - Womens.Hot tub - Womens 2.Part with water level at Y=60.2001144438982  -  Server - PoolSwimmingSystem:179
  13:02:35.754   ▶ Found swimming pool: Workspace.GymParts.3rd Floor.Massage and Wellness.Hot/Cold Tub - Mens.Cold tub - Mens 2.Part with water level at Y=60.2001144438982 (x2)  -  Server - PoolSwimmingSystem:179
  13:02:35.755  Found swimming pool: Workspace.GymParts.Roof.Pool Area.Rooftop Pool.Part with water level at Y=118.76155233383179  -  Server - PoolSwimmingSystem:179
  13:02:35.755  Found swimming pool: Workspace.GymParts.3rd Floor.Massage and Wellness.Hot/Cold Tub - Mens.Hot tub - Mens 1.Part with water level at Y=60.2001144438982  -  Server - PoolSwimmingSystem:179
  13:02:35.756  Found swimming pool: Workspace.GymParts.3rd Floor.Massage and Wellness.Hot/Cold Tub - Mens.Hot tub - Mens 2.Part with water level at Y=60.2001144438982  -  Server - PoolSwimmingSystem:179
  13:02:35.756  Found swimming pool: Workspace.GymParts.3rd Floor.Massage and Wellness.Hot/Cold Tub - Womens.Hot tub - Womens 1.Part with water level at Y=60.2001144438982  -  Server - PoolSwimmingSystem:179
  13:02:35.756  Swimming system initialized with 9 pools  -  Server - PoolSwimmingSystem:768
  13:02:35.756  Attempted to call require with invalid argument(s).  -  Server - GymTycoonConnector:10
  13:02:35.757  Stack Begin  -  Studio
  13:02:35.757  Script 'ServerScriptService.Connectors.GymTycoonConnector', Line 10  -  Studio - GymTycoonConnector:10
  13:02:35.757  Stack End  -  Studio
  13:02:35.758  Attempted to call require with invalid argument(s).  -  Server - RunTests:5
  13:02:35.758  Stack Begin  -  Studio
  13:02:35.759  Script 'ServerScriptService.Core.Tests.RunTests', Line 5  -  Studio - RunTests:5
  13:02:35.759  Stack End  -  Studio
  13:02:35.760  [DataSystemIntegration] Initializing data system integration...  -  Server - DataSystemIntegration:118
  13:02:35.760  [DataSystemIntegration] Enhanced data storage system not found!  -  Server - DataSystemIntegration:122
  13:02:35.761  All sauna and steam room effects created successfully in ServerStorage!  -  Server - SteamSauna:350
  13:02:35.761  Attempted to call require with invalid argument(s).  -  Server - AchievementSystem:12
  13:02:35.761  Stack Begin  -  Studio
  13:02:35.762  Script 'ServerScriptService.Core.AchievementSystem', Line 12  -  Studio - AchievementSystem:12
  13:02:35.762  Stack End  -  Studio
  13:02:35.763  Player activity receiver initialized  -  Server - PlayerActivityReceiver:30
  13:02:35.763  === Initializing Gym Tycoon Core Systems ===  -  Server - InitializeCore:16
  13:02:35.763  Loading order: CoreRegistry -> EventBridge -> DataManager -> GymTycoonConnector  -  Server - InitializeCore:17
  13:02:35.764  Attempted to call require with invalid argument(s).  -  Server - InitializeCore:20
  13:02:35.764  Stack Begin  -  Studio
  13:02:35.765  Script 'ServerScriptService.Core.InitializeCore', Line 20  -  Studio - InitializeCore:20
  13:02:35.765  Stack End  -  Studio
  13:02:35.797   ▶ NPC assigned as Trainer (x2)  -  Server - JobSystem:17
  13:02:35.830  Player Sanction System initialized  -  Server - PlayerSanctionSystem:60
  13:02:35.830  Attempted to call require with invalid argument(s).  -  Server - LegacyBridge:6
  13:02:35.830  Stack Begin  -  Studio
  13:02:35.830  Script 'ServerScriptService.Core.LegacyBridge', Line 6  -  Studio - LegacyBridge:6
  13:02:35.831  Stack End  -  Studio
  13:02:35.831  Attempted to call require with invalid argument(s).  -  Server - NPCSystem:12
  13:02:35.832  Stack Begin  -  Studio
  13:02:35.832  Script 'ServerScriptService.Core.NPCSystem', Line 12  -  Studio - NPCSystem:12
  13:02:35.832  Stack End  -  Studio
  13:02:35.833  Attempted to call require with invalid argument(s).  -  Server - SatisfactionEventHandler:11
  13:02:35.833  Stack Begin  -  Studio
  13:02:35.833  Script 'ServerScriptService.Core.SatisfactionEventHandler', Line 11  -  Studio - SatisfactionEventHandler:11
  13:02:35.834  Stack End  -  Studio
  13:02:35.835  ==================================================  -  Server - ServerRunner.server:8
  13:02:35.835  Starting Gym Tycoon System Architecture v2.0  -  Server - ServerRunner.server:9
  13:02:35.835  ==================================================  -  Server - ServerRunner.server:10
  13:02:35.836  Attempted to call require with invalid argument(s).  -  Server - ServerRunner.server:37
  13:02:35.836  Stack Begin  -  Studio
  13:02:35.837  Script 'ServerScriptService.Core.ServerRunner.server', Line 37 - function loadBootstrap  -  Studio - ServerRunner.server:37
  13:02:35.837  Script 'ServerScriptService.Core.ServerRunner.server', Line 44  -  Studio - ServerRunner.server:44
  13:02:35.838  Stack End  -  Studio
  13:02:35.838  [DataManager] Running in Studio - data persistence may not work unless enabled in Game Settings  -  Server - GymTycoonDataManager:43
  13:02:35.838  [DataManager] DataManager initialized successfully  -  Server - GymTycoonDataManager:43
  13:02:35.839  [DataManager] Connected to TilePurchased event  -  Server - GymTycoonDataManager:43
  13:02:35.839  [DataManager] Events connected  -  Server - GymTycoonDataManager:43
  13:02:35.840  [DataManager] Created 'AccruedDues' folder in ReplicatedStorage  -  Server - GymTycoonDataManager:43
  13:02:35.841  [DataManager] Fixed common issues  -  Server - GymTycoonDataManager:43
  13:02:35.841  Attempted to call require with invalid argument(s).  -  Server - TestLauncher:12
  13:02:35.841  Stack Begin  -  Studio
  13:02:35.841  Script 'ServerScriptService.Core.Tests.TestLauncher', Line 12  -  Studio - TestLauncher:12
  13:02:35.841  Stack End  -  Studio
  13:02:35.842  ===== INITIALIZING GYM TYCOON =====  -  Server - GymTycoonInit:11
  13:02:35.842  Failed to load GymTycoonDataManager - data persistence will not work!  -  Server - GymTycoonInit:45
  13:02:35.842   ▶ Failed to load dependency: GymRevenueSystem (x4)  -  Server - GymTycoonInit:81
  13:02:35.844  Failed to load GymTycoonConnector - system integration may not work properly!  -  Server - GymTycoonInit:110
  13:02:35.844  ===== GYM TYCOON INITIALIZED =====  -  Server - GymTycoonInit:130
  13:02:35.845  Attempted to call require with invalid argument(s).  -  Server - GymTycoonConnector:10
  13:02:35.845  Stack Begin  -  Studio
  13:02:35.845  Script 'ServerScriptService.Core.GymTycoonConnector', Line 10  -  Studio - GymTycoonConnector:10
  13:02:35.846  Stack End  -  Studio
  13:02:35.846  Attempted to call require with invalid argument(s).  -  Server - SpecializationSystem:10
  13:02:35.847  Stack Begin  -  Studio
  13:02:35.847  Script 'ServerScriptService.Core.SpecializationSystem', Line 10  -  Studio - SpecializationSystem:10
  13:02:35.848  Stack End  -  Studio
  13:02:35.848  Attempted to call require with invalid argument(s).  -  Server - TycoonSystem:10
  13:02:35.849  Stack Begin  -  Studio
  13:02:35.849  Script 'ServerScriptService.Core.TycoonSystem', Line 10  -  Studio - TycoonSystem:10
  13:02:35.850  Stack End  -  Studio
  13:02:35.850  Attempted to call require with invalid argument(s).  -  Server - DataManager:9
  13:02:35.851  Stack Begin  -  Studio
  13:02:35.851  Script 'ServerScriptService.Core.DataManager', Line 9  -  Studio - DataManager:9
  13:02:35.851  Stack End  -  Studio
  13:02:35.852  Attempted to call require with invalid argument(s).  -  Server - MilestoneSystem:11
  13:02:35.853  Stack Begin  -  Studio
  13:02:35.853  Script 'ServerScriptService.Core.MilestoneSystem', Line 11  -  Studio - MilestoneSystem:11
  13:02:35.854  Stack End  -  Studio
  13:02:35.854  Attempted to call require with invalid argument(s).  -  Server - GymTycoonConnector:10
  13:02:35.855  Stack Begin  -  Studio
  13:02:35.855  Script 'ServerScriptService.Server.Connectors.GymTycoonConnector', Line 10  -  Studio - GymTycoonConnector:10
  13:02:35.856  Stack End  -  Studio
  13:02:35.857  ServerScriptService.Core.MemberSatisfactionSystem:722: attempt to index nil with 'registerSystem'  -  Server - MemberSatisfactionSystem:722
  13:02:35.857  Stack Begin  -  Studio
  13:02:35.858  Script 'ServerScriptService.Core.MemberSatisfactionSystem', Line 722  -  Studio - MemberSatisfactionSystem:722
  13:02:35.858  Stack End  -  Studio
  13:02:35.858  [Staff System] Initializing Staff System  -  Server - StaffManagementSystem:70
  13:02:35.860  [Staff System] Staff System initialized  -  Server - StaffManagementSystem:70
  13:02:35.860  Floor is not a valid member of Workspace "Workspace"  -  Server - ElevatorMovement:46
  13:02:35.860  Stack Begin  -  Studio
  13:02:35.860  Script 'ServerScriptService.Model Function.ElevatorMovement', Line 46  -  Studio - ElevatorMovement:46
  13:02:35.860  Stack End  -  Studio
  13:02:35.860  ServerScriptService.Core.SaunaSystem:733: attempt to index nil with 'registerSystem'  -  Server - SaunaSystem:733
  13:02:35.861  Stack Begin  -  Studio
  13:02:35.861  Script 'ServerScriptService.Core.SaunaSystem', Line 733  -  Studio - SaunaSystem:733
  13:02:35.861  Stack End  -  Studio
  13:02:35.861  ServerScriptService.Server.Core.MemberTrainingSystem:219: attempt to index nil with 'registerSystem'  -  Server - MemberTrainingSystem:219
  13:02:35.861  Stack Begin  -  Studio
  13:02:35.862  Script 'ServerScriptService.Server.Core.MemberTrainingSystem', Line 219  -  Studio - MemberTrainingSystem:219
  13:02:35.862  Stack End  -  Studio
  13:02:35.863  Attempted to call require with invalid argument(s).  -  Server - NPCAnimationSystem:34
  13:02:35.863  Stack Begin  -  Studio
  13:02:35.863  Script 'ServerScriptService.Server.Core.NPCAnimationSystem', Line 34  -  Studio - NPCAnimationSystem:34
  13:02:35.863  Stack End  -  Studio
  13:02:35.864  [TutorialManager] ModuleLoader not found, using legacy module loading  -  Server - TutorialManager:27
  13:02:35.864  [TutorialManager] TutorialSteps module not found, creating default tutorials  -  Server - TutorialManager:27
  13:02:35.865  ✓ Registered global function: _G.MigrateBuyTileSystem()  -  Server - MigrationUtils:682
  13:02:35.865  ✓ Registered global function: _G.ShowMigrationInfo()  -  Server - MigrationUtils:683
  13:02:35.866  ✓ Registered global function: _G.BatchProcessModels(tycoonName, processingFunction, options)  -  Server - DevUtilityFunctions:1208
  13:02:35.866  ✓ Registered global function: _G.GenerateModelStats(tycoonName, options)  -  Server - DevUtilityFunctions:1209
  13:02:35.866  ✓ Registered global function: _G.CompareConfigWithModels(configModule, tycoonName, options)  -  Server - DevUtilityFunctions:1210
  13:02:35.866  ✓ Registered global function: _G.ExportCollectionServiceTags(outputFormat, containerName)  -  Server - DevUtilityFunctions:1211
  13:02:35.866  ✓ Registered global function: _G.SetupTargetHardware(profile, customSettings)  -  Server - DevUtilityFunctions:1212
  13:02:35.866  ✓ Registered global function: _G.GenerateUIConfig(uiContainer, options)  -  Server - DevUtilityFunctions:1213
  13:02:35.867  ✓ Registered global function: _G.InitializeDevelopmentEnvironment(options)  -  Server - DevUtilityFunctions:1214
  13:02:35.867  Attempted to call require with invalid argument(s).  -  Server - ServerEvents:7
  13:02:35.867  Stack Begin  -  Studio
  13:02:35.868  Script 'ServerScriptService.Server.Core.ServerEvents', Line 7  -  Studio - ServerEvents:7
  13:02:35.868  Stack End  -  Studio
  13:02:35.868  ==================================================  -  Server - ServerRunner:8
  13:02:35.868  Starting Gym Tycoon System Architecture v2.0  -  Server - ServerRunner:9
  13:02:35.869  ==================================================  -  Server - ServerRunner:10
  13:02:35.869  Attempted to call require with invalid argument(s).  -  Server - ServerRunner:37
  13:02:35.869  Stack Begin  -  Studio
  13:02:35.870  Script 'ServerScriptService.Server.Core.ServerRunner', Line 37 - function loadBootstrap  -  Studio - ServerRunner:37
  13:02:35.870  Script 'ServerScriptService.Server.Core.ServerRunner', Line 44  -  Studio - ServerRunner:44
  13:02:35.870  Stack End  -  Studio
  13:02:35.871  Attempted to call require with invalid argument(s).  -  Server - TycoonSystem:10
  13:02:35.871  Stack Begin  -  Studio
  13:02:35.871  Script 'ServerScriptService.Server.Core.TycoonSystem', Line 10  -  Studio - TycoonSystem:10
  13:02:35.871  Stack End  -  Studio
  13:02:35.872  Attempted to call require with invalid argument(s).  -  Server - EventBridge:164
  13:02:35.872  Stack Begin  -  Studio
  13:02:35.873  Script 'ServerScriptService.Server.Core.EventBridge', Line 164  -  Studio - EventBridge:164
  13:02:35.873  Stack End  -  Studio
  13:02:35.873  Attempted to call require with invalid argument(s).  -  Server - TaskScheduler:9
  13:02:35.873  Stack Begin  -  Studio
  13:02:35.873  Script 'ServerScriptService.Server.Core.TaskScheduler', Line 9  -  Studio - TaskScheduler:9
  13:02:35.873  Stack End  -  Studio
  13:02:35.874  Attempted to call require with invalid argument(s).  -  Server - IntegrationTests:5
